query,expected_response,generated_response,time_taken,rougeL_precision,rougeL_recall,rougeL_f1,bleu_score,similarity,bertscore_precision,bertscore_recall,bertscore_f1
Mã trường là gì?,Trường Đại học Mở TP.Hồ Chí Minh có mã là MBS.,"Mã trường Đại học Mở Thành phố Hồ Chí Minh Mã trường của Đại học Mở Thành phố Hồ Chí Minh là: MBS . Để cung cấp thông tin chính xác nhất về mã trường cho các hệ đào tạo khác nhau, bạn vui lòng cho biết bạn muốn tìm mã trường của hệ đào tạo nào (ví dụ: hệ đại trà, hệ vừa làm vừa học, v.v.). Thông tin liên hệ của trường: Địa chỉ: 97 Võ Văn Tần, Quận 3, TP. Hồ Chí Minh Số điện thoại: 1800585884 Website: https://tuyensinh.ou.edu.vn",3.79,0.09302325581395349,0.9230769230769231,0.16901408450704228,0.0181048350248159,0.6835215091705322,0.6073970794677734,0.7976946234703064,0.6896594166755676
Sinh viên ngành Công nghệ thông tin học ở cơ sở nào?,"Ngành Công nghệ thông tin được đào tạo tại cơ sở Nhà Bè, Khu Dân cư Nhơn Đức, Huyện Nhà Bè, Thành phố Hồ Chí Minh","Địa điểm học ngành Công nghệ thông tin tại Đại học Mở Thành phố Hồ Chí Minh Thông tin về địa điểm học ngành Công nghệ thông tin tại Đại học Mở Thành phố Hồ Chí Minh hiện chưa được xác định cụ thể và có sự khác biệt giữa các nguồn. Để có thông tin chính xác nhất, bạn nên xem xét các yếu tố sau: Hình thức đào tạo: Xác định rõ bạn quan tâm đến hình thức đào tạo nào (chính quy, chất lượng cao hay từ xa) vì địa điểm học có thể khác nhau. Liên hệ trực tiếp: Truy cập website tuyển sinh của trường: https://tuyensinh.ou.edu.vn/ Liên hệ hotline: 1800585884 để được tư vấn chi tiết. Thông tin tham khảo (cần xác minh lại): Cơ sở 97 Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh. Phòng 105, 35-37 Hồ Hảo Hớn, Quận 1, Thành phố Hồ Chí Minh.",2.19,0.12017167381974249,0.8,0.208955223880597,0.012036917021699988,0.4982304275035858,0.6246182322502136,0.7315523028373718,0.6738694310188293
Ngành Công nghệ sinh học của trường Đại học Mở TP.HCM được đào tạo tại cơ sở nào?,"Ngành Công nghệ sinh học được đào tạo ở Cơ sở Nhà Bè. Tuy nhiên, khi học thực hành thì sinh viên sẽ học ở các phòng thí nghiệm của Khoa Công nghệ Sinh học được đặt tại Cơ sở Bình Dương, số 68, đường Lê Thị Trung, Tp. Thủ Dầu Một, tỉnh Bình Dương.","Địa điểm đào tạo ngành Công nghệ Sinh học tại Đại học Mở TP.HCM Ngành Công nghệ sinh học của trường Đại học Mở TP.HCM được đào tạo tại: Cơ sở Nhà Bè: Khu Dân cư Nhơn Đức, Huyện Nhà Bè, Thành phố Hồ Chí Minh. Cơ sở Bình Dương: 68 Lê Thị Trung, Tp. Thủ Dầu Một, Tỉnh Bình Dương (khu thực hành khoa công nghệ sinh học, có xe đưa đón). Khoa Công nghệ Sinh học có 08 phòng thí nghiệm và một trại thực nghiệm tại cơ sở Bình Dương. Ngành Công nghệ sinh học của trường Đại học Mở TP.HCM được đào tạo theo 2 hình thức: Chương trình chuẩn: Địa điểm chưa được nêu rõ trong tài liệu. Chương trình chất lượng cao: Địa điểm chưa được nêu rõ trong tài liệu. Ngành Công nghệ sinh học (chương trình chuẩn và chất lượng cao) xét tuyển theo phương thức 4 (xét tuyển kết quả học tập THPT) với điều kiện: Tổng điểm trung bình môn học các môn trong tổ hợp xét tuyển (Điểm Đăng ký xét tuyển - không bao gồm điểm ưu tiên) phải đạt từ 18,0 điểm trở lên.",5.68,0.18151815181518152,0.7142857142857143,0.2894736842105263,0.06234832887797883,0.7492609024047852,0.6708345413208008,0.7770078778266907,0.7200283408164978
Điểm chuẩn ngành Ngôn ngữ Nhật Chất lượng cao theo phương thức ĐGNL ĐHQG là bao nhiêu?,Điểm chuẩn ngành Ngôn ngữ Nhật Chất lượng cao theo phương thức ĐGNL ĐHQG là 700.,Điểm chuẩn ngành Ngôn ngữ Nhật Chất lượng cao - Phương thức ĐGNL ĐHQG năm 2024 Điểm chuẩn ngành Ngôn ngữ Nhật (Chất lượng cao) của Đại học Mở Thành phố Hồ Chí Minh theo phương thức xét tuyển Đánh giá năng lực (ĐGNL) của Đại học Quốc gia TP.HCM năm 2024 là: Năm 2024: 700,3.12,0.27906976744186046,0.96,0.43243243243243235,0.1227616815524213,0.6141710877418518,0.7340118885040283,0.8400776982307434,0.7834713459014893
Điểm chuẩn ngành Ngôn ngữ Hàn Quốc theo phương thức ĐGNL ĐHQG là bao nhiêu?,Điểm chuẩn ngành Ngôn ngữ Hàn Quốc theo phương thức ĐGNL ĐHQG là 730.,"Điểm chuẩn ngành Ngôn ngữ Hàn Quốc - Phương thức ĐGNL ĐHQG năm 2024 Theo thông tin được cung cấp, điểm chuẩn ngành Ngôn ngữ Hàn Quốc theo phương thức ĐGNL ĐHQG năm 2024 là: 730 .",3.99,0.4,1.0,0.5714285714285715,0.2981792160679168,0.7751321792602539,0.8131428360939026,0.8861881494522095,0.8480955958366394
Điểm chuẩn ngành Kinh tế theo phương thức ĐGNL ĐHQG là bao nhiêu?,Điểm chuẩn ngành Kinh tế theo phương thức ĐGNL ĐHQG là 740.,Điểm chuẩn ngành Kinh tế Đại học Mở TP.HCM theo phương thức ĐGNL ĐHQG năm 2024 Điểm chuẩn ngành Kinh tế Đại học Mở TP.HCM theo phương thức Đánh giá năng lực (ĐGNL) của Đại học Quốc gia (ĐHQG) năm 2024 như sau: Kinh tế: 740 Kinh tế (Chất lượng cao): 700,9.61,0.2191780821917808,0.9411764705882353,0.35555555555555557,0.08829928855463526,0.6973414421081543,0.688195526599884,0.7865093946456909,0.7340752482414246
Điểm chuẩn ngành Kinh tế theo phương thức ĐGNL V-SAT là bao nhiêu?,Điểm chuẩn ngành Kinh tế theo phương thức ĐGNL V-SAT là 280.,Điểm chuẩn ngành Kinh tế - Phương thức ĐGNL V-SAT (Đại học Mở TP.HCM) Điểm chuẩn ngành Kinh tế theo phương thức ĐGNL V-SAT của Đại học Mở Thành phố Hồ Chí Minh như sau: Năm 2024: 280,3.84,0.3076923076923077,0.9411764705882353,0.46376811594202905,0.2094108425209914,0.5502117276191711,0.7465397715568542,0.8439674377441406,0.7922695875167847
Điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL ĐHQG là bao nhiêu?,Điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL ĐHQG là 700.,"Dựa trên thông tin tuyển sinh hiện có, điểm chuẩn ngành Kinh tế Chất lượng cao của trường Đại học Mở Thành phố Hồ Chí Minh xét tuyển theo phương thức ĐGNL ĐHQG được cập nhật như sau: Năm 2024: 700",4.09,0.3387096774193548,0.9545454545454546,0.5,0.2299660544335437,0.480939120054245,0.7504122853279114,0.8825536966323853,0.8111364245414734
Điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL V-SAT là bao nhiêu?,Điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL V-SAT là 255.,"Điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL V-SAT năm 2024 Theo thông tin được cung cấp, điểm chuẩn ngành Kinh tế Chất lượng cao theo phương thức ĐGNL V-SAT năm 2024 là 255 .",7.23,0.39285714285714285,1.0,0.5641025641025641,0.3179303998422513,0.7341932058334351,0.8145132660865784,0.876741349697113,0.8444824814796448
Điểm chuẩn ngành Quản lý công theo phương thức ĐGNL ĐHQG là bao nhiêu?,Điểm chuẩn ngành Quản lý công theo phương thức ĐGNL ĐHQG là 700.,"Tôi rất tiếc, thông tin bạn yêu cầu không có trong tài liệu được cung cấp.",6.78,0.2222222222222222,0.3,0.25531914893617025,0.0,0.1408342868089676,0.6330651640892029,0.6258628368377686,0.629443347454071
